,h.ID,h.name,h.location,h.address,x_coor_hub,y_coor_hub,temp_off
0,b1b3de810f1d46619cd868a470ab831c,CMS(Sector-5),"[28.48581,77.0192451]","Office no. 10, 2nd floor, CMS complex, Ashok vihar phase 2,Sector 5,Gurgaon,Haryana,Sector 5,Gurgaon,Haryana",28.48581,77.0192451,0
1,PALAMWALA,Palam Triangle,"[28.5052549,77.0381478]","SGF-003 Palam Triangle,Palam Vihar,Gurgaon,Haryana",28.5052549,77.0381478,1
2,48b6dba5107b422fb17325c85021dd4f,GATI_SEC17,"[28.4861289,77.0620486]","Atul kataraia Chowk,Sector 12 - 14 assigned Hub,Gurgaon,Haryana",28.4861289,77.0620486,0
3,be7261b61da149aa805e10f395c46ed3,Sohna Road,"[28.414905,77.0348477]","Shop No 6 MEDITREE markets,Sector 48,Gurgaon,Haryana",28.414905,77.0348477,0
4,S49,Sector 49,"[28.4195442,77.0493578]","Q1 - 135, basement, south city 1, near mamta sweets   o/p park hospital, sec. 49, gurgaon,Gurgaon,Haryana",28.4195442,77.0493578,1
5,DLFCYBERHUB,DLF Cyber City,"[28.4901695,77.0953785]","Mahalaxmi Pvt. Ltd. U-51/2 DLF Phase 3,near Yadav Properties Nathupur,Gurgaon,Haryana",28.4901695,77.0953785,1
